season,rule,rho_J,rho_F
1,percent,0.9370729763515888,0.5566715857439861
1,percent_save,1.0,0.5031978664472385
1,rank,0.5181782745702441,0.8124926152828693
1,rank_save,0.5864714267227851,0.8414532560582388
2,percent,0.852175430207621,0.35838557369208185
2,percent_save,0.8115338741908998,0.3440979403218456
2,rank,0.3823690799135221,0.7420916326225866
2,rank_save,0.47612318828787037,0.603977256160538
3,percent,0.6638606846648617,0.49454169927606617
3,percent_save,0.719406814150355,0.40699202040495097
3,rank,0.26696187055328024,0.8123161669841017
3,rank_save,0.2757244612426074,0.7350970307578425
4,percent,0.7561282000612574,0.7985722434252696
4,percent_save,0.8072554456664168,0.7075300609267184
4,rank,0.3542222184939404,0.7512956113090037
4,rank_save,0.5335473572570437,0.5884100648612087
5,percent,0.7843065752372452,0.6532364412497822
5,percent_save,0.8192513904577808,0.5493103417314108
5,rank,0.27946003678475984,0.5552381257825212
5,rank_save,0.3680284508442584,0.4994557116631091
6,percent,0.7339727343692165,0.28804608676884236
6,percent_save,0.7501266343539186,0.2886299012108857
6,rank,0.3943342528971959,0.7764655725586402
6,rank_save,0.4905384513669357,0.7072114585378244
7,percent,0.7912487289895951,0.6619215783431442
7,percent_save,0.8319657801564043,0.5766048296428428
7,rank,0.6839235808686603,0.6714638637879998
7,rank_save,0.8127008372247783,0.5975051518957353
8,percent,0.6590645241563197,0.586689484061396
8,percent_save,0.7271343044317404,0.6335913123846945
8,rank,0.5137686350016568,0.7790143397428517
8,rank_save,0.6118504362540385,0.6967583520125955
9,percent,0.8296824276998258,0.557937825450884
9,percent_save,0.7803039819697812,0.5169542310590084
9,rank,0.6852494159599841,0.383122764771534
9,rank_save,0.7502990484366907,0.33771080359830913
10,percent,0.6941485197165035,0.5147870347756779
10,percent_save,0.7176605095281516,0.5104504064313456
10,rank,0.7023451653748042,0.6628054538129845
10,rank_save,0.8281152712599078,0.6292430092959687
11,percent,0.7640292137945861,0.509742450078504
11,percent_save,0.7870819774035805,0.47999812291062705
11,rank,0.5230328273183096,0.6825490571890804
11,rank_save,0.6298570799117036,0.5873550710423092
12,percent,0.6993074490110628,0.4373056283571455
12,percent_save,0.8436167440715894,0.4160345189987374
12,rank,0.31373441161769,0.6331014619318966
12,rank_save,0.38567012603438955,0.6033040047726235
13,percent,0.7653771398056718,0.5752561525435167
13,percent_save,0.8304545069223525,0.5435205640582546
13,rank,0.5090950174586534,0.4877759815147085
13,rank_save,0.7122571230829177,0.42815793327565244
14,percent,0.7472957320709375,0.35906604279126414
14,percent_save,0.826638586760951,0.4385888240817631
14,rank,0.5553312751084353,0.7084245012890457
14,rank_save,0.7054709906552402,0.5883319481494316
15,percent,0.630314891829232,0.2945828455129159
15,percent_save,0.7039945133609911,0.21861163380122572
15,rank,0.36270672968851914,0.6426206210513687
15,rank_save,0.4461348784288205,0.5395054353650635
16,percent,0.9398471300881948,0.5107916903791532
16,percent_save,0.9094729683601335,0.49002338330576833
16,rank,0.5145050132708793,0.7698480264065466
16,rank_save,0.6058780100010857,0.785205164120668
17,percent,0.636146134288962,0.6308247834714173
17,percent_save,0.7034685447638109,0.5668235473924927
17,rank,0.6120105402106668,0.5697577102920197
17,rank_save,0.7068597738723261,0.5322823528093135
18,percent,0.9528352099157459,0.6231177093106848
18,percent_save,0.9541011264043797,0.6324719394978073
18,rank,0.551426455597112,0.6305355886381061
18,rank_save,0.5718612807369795,0.6133632690697975
19,percent,0.8723797832241681,0.7297489097298572
19,percent_save,0.8846929750062936,0.6552731882485809
19,rank,0.4826198123283131,0.8967068260398369
19,rank_save,0.6574594614610104,0.8344374202396933
20,percent,0.7205623599854213,0.5921552699367423
20,percent_save,0.7573295183235236,0.6981637282662232
20,rank,0.4336410749227268,0.6838315170304166
20,rank_save,0.5142911695166221,0.7065082208882824
21,percent,0.842043955867869,0.5669811801044484
21,percent_save,0.8884025102350254,0.49464149420102815
21,rank,0.4409378075735965,0.615289614576217
21,rank_save,0.5566378322782012,0.5889514958048943
22,percent,0.6653700686850098,0.294472040826551
22,percent_save,0.6711771968749531,0.27215829612382736
22,rank,0.3403789000239469,0.6967285495908061
22,rank_save,0.429037946316506,0.665994418577248
23,percent,0.8101530629280435,0.6840407594722533
23,percent_save,0.8132618109322873,0.6797925228326862
23,rank,0.36691817455154524,0.7470090935330139
23,rank_save,0.4996082771532904,0.6281256251351593
24,percent,0.8430540676331714,0.7222328933855265
24,percent_save,0.8772906054011541,0.7301813544101898
24,rank,0.5977707389205804,1.0
24,rank_save,0.7254708270952405,1.0
25,percent,0.7040896489210022,0.7736612629831912
25,percent_save,0.6734538553615197,0.7200646696937194
25,rank,0.4174840021735689,0.5876586092428775
25,rank_save,0.4041207425439815,0.5719716187616031
26,percent,0.7546961708617188,0.7077782716598767
26,percent_save,0.8069747628569095,0.6451982542795859
26,rank,0.5839401440791712,0.6468971684361988
26,rank_save,0.6274218124933143,0.6077200979152976
27,percent,0.9587215177297156,0.6206617104805663
27,percent_save,0.9629846956563707,0.6159110744295891
27,rank,0.6261463689309342,0.6670589758538599
27,rank_save,0.8487680356707453,0.5174329389322249
28,percent,0.7631083324758129,0.5322033556830631
28,percent_save,0.7500641347590606,0.5480964530358019
28,rank,0.4165672947452154,0.7204627152909946
28,rank_save,0.5848400067592703,0.6907118008390424
29,percent,0.8501275265042592,0.8505802716932791
29,percent_save,0.9388592291757261,0.774233748114375
29,rank,0.7724467650570219,0.6662265378764027
29,rank_save,0.8170632917760828,0.6384175092837141
30,percent,0.720576409936358,0.39609924323989215
30,percent_save,0.7485741856015088,0.37263627210419675
30,rank,0.2,0.5729067081155591
30,rank_save,0.26850170946396706,0.4513996392175274
31,percent,0.8519124363365868,0.533108092108874
31,percent_save,0.8719015924786471,0.5065981963583749
31,rank,0.4285856720930954,0.9404687804932231
31,rank_save,0.5316908458062589,0.9004217652718965
32,percent,0.8816297298342121,0.374490188360455
32,percent_save,0.9240404750824329,0.3739060486846838
32,rank,0.48665012964982657,0.7524837291622024
32,rank_save,0.6733017983826399,0.6048793391860773
33,percent,0.7203693372755691,0.49894565990814693
33,percent_save,0.7357238575125364,0.5139256536798095
33,rank,0.44494548836298103,0.6946947606985793
33,rank_save,0.5674255932140323,0.6625455349968316
34,percent,0.6886114653691554,0.5042892416377264
34,percent_save,0.737566385670948,0.48015561080316543
34,rank,0.6190544207220379,0.797066427492196
34,rank_save,0.736419100978201,0.7775849407638692
