Season,Week,CelebrityID,Name,Partner,Industry,Is_US,Raw_Total,Judge_Count,Avg_Score,Z_Score,Score_Trajectory,Judge_Rank,Is_Eliminated,Final_Placement
1,1,0,John O'Hurley,Charlotte Jorgensen,Acting,1,20.0,3,6.666666666666667,0.6755,0.0,1,0,2
1,2,0,John O'Hurley,Charlotte Jorgensen,Acting,1,26.0,3,8.666666666666666,1.312,2.0,1,0,2
1,3,0,John O'Hurley,Charlotte Jorgensen,Acting,1,24.0,3,8.0,0.5634,-0.67,2,0,2
1,4,0,John O'Hurley,Charlotte Jorgensen,Acting,1,21.0,3,7.0,-0.6794,-1.0,3,0,2
1,5,0,John O'Hurley,Charlotte Jorgensen,Acting,1,27.0,3,9.0,1.1286,2.0,1,0,2
1,6,0,John O'Hurley,Charlotte Jorgensen,Acting,1,27.0,3,9.0,-0.7071,0.0,2,0,2
1,1,1,Kelly Monaco,Alec Mazo,Acting,1,13.0,3,4.333333333333333,-1.9036,0.0,6,0,1
1,2,1,Kelly Monaco,Alec Mazo,Acting,1,17.0,3,5.666666666666667,-0.7123,1.33,5,0,1
1,3,1,Kelly Monaco,Alec Mazo,Acting,1,21.0,3,7.0,-0.0402,1.33,4,0,1
1,4,1,Kelly Monaco,Alec Mazo,Acting,1,26.0,3,8.666666666666666,1.019,1.67,1,0,1
1,5,1,Kelly Monaco,Alec Mazo,Acting,1,23.5,3,7.833333333333333,-0.3527,-0.83,2,0,1
1,6,1,Kelly Monaco,Alec Mazo,Acting,1,27.5,3,9.166666666666666,0.7071,1.33,1,0,1
1,1,2,Evander Holyfield,Edyta Sliwinska,Sports,1,18.0,3,6.0,-0.0614,0.0,4,0,5
1,2,2,Evander Holyfield,Edyta Sliwinska,Sports,1,14.0,3,4.666666666666667,-1.387,-1.33,6,0,5
1,3,2,Evander Holyfield,Edyta Sliwinska,Sports,1,13.0,3,4.333333333333333,-1.6499,-0.33,5,1,5
1,1,3,Rachel Hunter,Jonathan Roberts,Model,0,20.0,3,6.666666666666667,0.6755,0.0,1,0,4
1,2,3,Rachel Hunter,Jonathan Roberts,Model,0,24.0,3,8.0,0.8622,1.33,2,0,4
1,3,3,Rachel Hunter,Jonathan Roberts,Model,0,26.0,3,8.666666666666666,0.9658,0.67,1,0,4
1,4,3,Rachel Hunter,Jonathan Roberts,Model,0,25.0,3,8.333333333333334,0.6794,-0.33,2,1,4
1,1,4,Joey McIntyre,Ashly DelGrosso,Music,1,20.0,3,6.666666666666667,0.6755,0.0,1,0,3
1,2,4,Joey McIntyre,Ashly DelGrosso,Music,1,21.0,3,7.0,0.1874,0.33,3,0,3
1,3,4,Joey McIntyre,Ashly DelGrosso,Music,1,22.0,3,7.333333333333333,0.161,0.33,3,0,3
1,4,4,Joey McIntyre,Ashly DelGrosso,Music,1,20.0,3,6.666666666666667,-1.019,-0.67,4,0,3
1,5,4,Joey McIntyre,Ashly DelGrosso,Music,1,22.5,3,7.5,-0.7759,0.83,3,0,3
1,1,5,Trista Sutter,Louis van Amstel,Media/TV,1,18.0,3,6.0,-0.0614,0.0,4,0,6
1,2,5,Trista Sutter,Louis van Amstel,Media/TV,1,19.0,3,6.333333333333333,-0.2624,0.33,4,1,6
2,1,6,Tatum O'Neal,Nick Kosovich,Acting,1,23.0,3,7.666666666666667,0.8447,0.0,2,0,9
2,2,6,Tatum O'Neal,Nick Kosovich,Acting,1,17.0,3,5.666666666666667,-1.2328,-2.0,8,1,9
2,1,7,Tia Carrere,Maksim Chmerkoskiy,Acting,1,20.0,3,6.666666666666667,0.1207,0.0,6,0,6
2,2,7,Tia Carrere,Maksim Chmerkoskiy,Acting,1,22.0,3,7.333333333333333,-0.0525,0.67,5,0,6
2,3,7,Tia Carrere,Maksim Chmerkoskiy,Acting,1,26.0,3,8.666666666666666,0.7178,1.33,3,0,6
2,4,7,Tia Carrere,Maksim Chmerkoskiy,Acting,1,25.0,3,8.333333333333334,0.3583,-0.33,4,0,6
2,5,7,Tia Carrere,Maksim Chmerkoskiy,Acting,1,22.0,3,7.333333333333333,-1.0819,-1.0,6,1,6
2,1,8,George Hamilton,Edyta Sliwinska,Acting,1,18.0,3,6.0,-0.362,0.0,8,0,5
2,2,8,George Hamilton,Edyta Sliwinska,Acting,1,22.0,3,7.333333333333333,-0.0525,1.33,5,0,5
2,3,8,George Hamilton,Edyta Sliwinska,Acting,1,22.0,3,7.333333333333333,-0.1656,0.0,5,0,5
2,4,8,George Hamilton,Edyta Sliwinska,Acting,1,21.0,3,7.0,-0.2318,-0.33,6,0,5
2,5,8,George Hamilton,Edyta Sliwinska,Acting,1,24.0,3,8.0,-0.3986,1.0,4,0,5
2,6,8,George Hamilton,Edyta Sliwinska,Acting,1,23.0,3,7.666666666666667,-1.0265,-0.33,4,1,5
2,1,9,Lisa Rinna,Louis van Amstel,Acting,1,19.0,3,6.333333333333333,-0.1207,0.0,7,0,4
2,2,9,Lisa Rinna,Louis van Amstel,Acting,1,20.0,3,6.666666666666667,-0.5246,0.33,7,0,4
2,3,9,Lisa Rinna,Louis van Amstel,Acting,1,25.0,3,8.333333333333334,0.4969,1.67,4,0,4
2,4,9,Lisa Rinna,Louis van Amstel,Acting,1,26.0,3,8.666666666666666,0.5058,0.33,2,0,4
2,5,9,Lisa Rinna,Louis van Amstel,Acting,1,25.0,3,8.333333333333334,-0.0569,-0.33,3,0,4
2,6,9,Lisa Rinna,Louis van Amstel,Acting,1,27.0,3,9.0,0.1141,0.67,3,0,4
2,7,9,Lisa Rinna,Louis van Amstel,Acting,1,26.5,3,8.833333333333334,0.297,-0.17,3,1,4
2,1,10,Stacy Keibler,Tony Dovolani,Sports,1,22.0,3,7.333333333333333,0.6034,0.0,4,0,3
2,2,10,Stacy Keibler,Tony Dovolani,Sports,1,29.0,3,9.666666666666666,1.6,2.33,1,0,3
2,3,10,Stacy Keibler,Tony Dovolani,Sports,1,27.0,3,9.0,0.9387,-0.67,1,0,3
2,4,10,Stacy Keibler,Tony Dovolani,Sports,1,26.0,3,8.666666666666666,0.5058,-0.33,2,0,3
2,5,10,Stacy Keibler,Tony Dovolani,Sports,1,30.0,3,10.0,1.6514,1.33,1,0,3
2,6,10,Stacy Keibler,Tony Dovolani,Sports,1,30.0,3,10.0,0.9695,0.0,1,0,3
2,7,10,Stacy Keibler,Tony Dovolani,Sports,1,27.5,3,9.166666666666666,0.5941,-0.83,1,0,3
2,8,10,Stacy Keibler,Tony Dovolani,Sports,1,28.6665,3,9.5555,0.4402,0.39,2,0,3
2,1,11,Jerry Rice,Anna Trebunskaya,Sports,1,21.0,3,7.0,0.362,0.0,5,0,2
2,2,11,Jerry Rice,Anna Trebunskaya,Sports,1,23.0,3,7.666666666666667,0.1836,0.67,4,0,2
2,3,11,Jerry Rice,Anna Trebunskaya,Sports,1,19.0,3,6.333333333333333,-0.8282,-1.33,7,0,2
2,4,11,Jerry Rice,Anna Trebunskaya,Sports,1,24.0,3,8.0,0.2107,1.67,5,0,2
2,5,11,Jerry Rice,Anna Trebunskaya,Sports,1,23.0,3,7.666666666666667,-0.7403,-0.33,5,0,2
2,6,11,Jerry Rice,Anna Trebunskaya,Sports,1,23.0,3,7.666666666666667,-1.0265,0.0,4,0,2
2,7,11,Jerry Rice,Anna Trebunskaya,Sports,1,20.5,3,6.833333333333333,-1.4852,-0.83,4,0,2
2,8,11,Jerry Rice,Anna Trebunskaya,Sports,1,26.666600000000003,3,8.888866666666667,-1.1446,2.06,3,0,2
2,1,12,Giselle Fernandez,Jonathan Roberts,Media/TV,0,23.0,3,7.666666666666667,0.8447,0.0,2,0,8
2,2,12,Giselle Fernandez,Jonathan Roberts,Media/TV,0,24.0,3,8.0,0.4197,0.33,3,0,8
2,3,12,Giselle Fernandez,Jonathan Roberts,Media/TV,0,22.0,3,7.333333333333333,-0.1656,-0.67,5,1,8
2,1,13,Master P,Ashly DelGrosso,Music,1,12.0,3,4.0,-1.8102,0.0,10,0,7
2,2,13,Master P,Ashly DelGrosso,Music,1,16.0,3,5.333333333333333,-1.4689,1.33,9,0,7
2,3,13,Master P,Ashly DelGrosso,Music,1,14.0,3,4.666666666666667,-1.9326,-0.67,8,0,7
2,4,13,Master P,Ashly DelGrosso,Music,1,8.0,3,2.6666666666666665,-2.1496,-2.0,7,1,7
2,1,14,Drew Lachey,Cheryl Burke,Music,1,24.0,3,8.0,1.0861,0.0,1,0,1
2,2,14,Drew Lachey,Cheryl Burke,Music,1,27.0,3,9.0,1.1279,1.0,2,0,1
2,3,14,Drew Lachey,Cheryl Burke,Music,1,27.0,3,9.0,0.9387,0.0,1,0,1
2,4,14,Drew Lachey,Cheryl Burke,Music,1,28.0,3,9.333333333333334,0.8008,0.33,1,0,1
2,5,14,Drew Lachey,Cheryl Burke,Music,1,27.0,3,9.0,0.6264,-0.33,2,0,1
2,6,14,Drew Lachey,Cheryl Burke,Music,1,30.0,3,10.0,0.9695,1.0,1,0,1
2,7,14,Drew Lachey,Cheryl Burke,Music,1,27.5,3,9.166666666666666,0.5941,-0.83,1,0,1
2,8,14,Drew Lachey,Cheryl Burke,Music,1,28.9998,3,9.6666,0.7044,0.5,1,0,1
2,1,15,Kenny Mayne,Andrea Hale,Sports,1,13.0,3,4.333333333333333,-1.5688,0.0,9,1,10
3,1,16,Harry Hamlin,Ashly DelGrosso,Acting,1,17.0,3,5.666666666666667,-0.5446,0.0,8,0,9
3,2,16,Harry Hamlin,Ashly DelGrosso,Acting,1,21.0,3,7.0,-0.6882,1.33,7,0,9
3,3,16,Harry Hamlin,Ashly DelGrosso,Acting,1,22.0,3,7.333333333333333,-0.3651,0.33,4,1,9
3,1,17,Vivica A. Fox,Nick Kosovich,Acting,1,22.0,3,7.333333333333333,0.6535,0.0,3,0,8
3,2,17,Vivica A. Fox,Nick Kosovich,Acting,1,24.0,3,8.0,0.3441,0.67,3,0,8
3,3,17,Vivica A. Fox,Nick Kosovich,Acting,1,27.0,3,9.0,1.4606,1.0,1,0,8
3,4,17,Vivica A. Fox,Nick Kosovich,Acting,1,24.0,3,8.0,-0.2452,-1.0,4,1,8
3,1,18,Monique Coleman,Louis van Amstel,Acting,1,19.0,3,6.333333333333333,-0.0653,0.0,6,0,4
3,2,18,Monique Coleman,Louis van Amstel,Acting,1,26.0,3,8.666666666666666,1.0324,2.33,2,0,4
3,3,18,Monique Coleman,Louis van Amstel,Acting,1,27.0,3,9.0,1.4606,0.33,1,0,4
3,4,18,Monique Coleman,Louis van Amstel,Acting,1,24.0,3,8.0,-0.2452,-1.0,4,0,4
3,5,18,Monique Coleman,Louis van Amstel,Acting,1,27.0,3,9.0,0.7807,1.0,1,0,4
3,6,18,Monique Coleman,Louis van Amstel,Acting,1,23.0,3,7.666666666666667,-0.1645,-1.33,4,0,4
3,7,18,Monique Coleman,Louis van Amstel,Acting,1,27.0,3,9.0,0.0,1.33,4,0,4
3,8,18,Monique Coleman,Louis van Amstel,Acting,1,26.5,3,8.833333333333334,-0.866,-0.17,4,1,4
3,1,19,Joey Lawrence,Edyta Sliwinska,Acting,1,21.0,3,7.0,0.4139,0.0,5,0,3
3,2,19,Joey Lawrence,Edyta Sliwinska,Acting,1,29.0,3,9.666666666666666,2.0647,2.67,1,0,3
3,3,19,Joey Lawrence,Edyta Sliwinska,Acting,1,22.0,3,7.333333333333333,-0.3651,-2.33,4,0,3
3,4,19,Joey Lawrence,Edyta Sliwinska,Acting,1,27.0,3,9.0,0.7355,1.67,3,0,3
3,5,19,Joey Lawrence,Edyta Sliwinska,Acting,1,25.0,3,8.333333333333334,-0.5855,-0.67,5,0,3
3,6,19,Joey Lawrence,Edyta Sliwinska,Acting,1,24.0,3,8.0,0.1097,-0.33,3,0,3
3,7,19,Joey Lawrence,Edyta Sliwinska,Acting,1,28.5,3,9.5,0.647,1.5,1,0,3
3,8,19,Joey Lawrence,Edyta Sliwinska,Acting,1,27.0,3,9.0,-0.2887,-0.5,2,0,3
3,9,19,Joey Lawrence,Edyta Sliwinska,Acting,1,29.5,3,9.833333333333334,0.0,0.83,1,0,3
3,1,20,Mario Lopez,Karina Smirnoff,Acting,1,26.0,3,8.666666666666666,1.6119,0.0,1,0,2
3,2,20,Mario Lopez,Karina Smirnoff,Acting,1,21.0,3,7.0,-0.6882,-1.67,7,0,2
3,3,20,Mario Lopez,Karina Smirnoff,Acting,1,22.0,3,7.333333333333333,-0.3651,0.33,4,0,2
3,4,20,Mario Lopez,Karina Smirnoff,Acting,1,29.0,3,9.666666666666666,1.3894,2.33,1,0,2
3,5,20,Mario Lopez,Karina Smirnoff,Acting,1,27.0,3,9.0,0.7807,-0.67,1,0,2
3,6,20,Mario Lopez,Karina Smirnoff,Acting,1,28.0,3,9.333333333333334,1.2065,0.33,1,0,2
3,7,20,Mario Lopez,Karina Smirnoff,Acting,1,28.0,3,9.333333333333334,0.4313,0.0,3,0,2
3,8,20,Mario Lopez,Karina Smirnoff,Acting,1,28.5,3,9.5,1.4434,0.17,1,0,2
3,9,20,Mario Lopez,Karina Smirnoff,Acting,1,29.5,3,9.833333333333334,0.0,0.33,1,0,2
3,10,20,Mario Lopez,Karina Smirnoff,Acting,1,29.666600000000003,3,9.888866666666667,0.0,0.06,1,0,2
3,1,21,Emmitt Smith,Cheryl Burke,Sports,1,24.0,3,8.0,1.1327,0.0,2,0,1
3,2,21,Emmitt Smith,Cheryl Burke,Sports,1,24.0,3,8.0,0.3441,0.0,3,0,1
3,3,21,Emmitt Smith,Cheryl Burke,Sports,1,19.0,3,6.333333333333333,-1.4606,-1.67,9,0,1
3,4,21,Emmitt Smith,Cheryl Burke,Sports,1,24.0,3,8.0,-0.2452,1.67,4,0,1
3,5,21,Emmitt Smith,Cheryl Burke,Sports,1,27.0,3,9.0,0.7807,1.0,1,0,1
3,6,21,Emmitt Smith,Cheryl Burke,Sports,1,25.0,3,8.333333333333334,0.3839,-0.67,2,0,1
3,7,21,Emmitt Smith,Cheryl Burke,Sports,1,28.5,3,9.5,0.647,1.17,1,0,1
3,8,21,Emmitt Smith,Cheryl Burke,Sports,1,27.0,3,9.0,-0.2887,-0.5,2,0,1
3,9,21,Emmitt Smith,Cheryl Burke,Sports,1,29.5,3,9.833333333333334,0.0,0.83,1,0,1
3,10,21,Emmitt Smith,Cheryl Burke,Sports,1,29.666600000000003,3,9.888866666666667,0.0,0.06,1,0,1
3,1,22,Shanna Moakler,Jesse DeSoto,Model,1,18.0,3,6.0,-0.305,0.0,7,0,10
3,2,22,Shanna Moakler,Jesse DeSoto,Model,1,22.0,3,7.333333333333333,-0.3441,1.33,6,1,10
3,1,23,Willa Ford,Maksim Chmerkoskiy,Music,1,22.0,3,7.333333333333333,0.6535,0.0,3,0,7
3,2,23,Willa Ford,Maksim Chmerkoskiy,Music,1,23.0,3,7.666666666666667,0.0,0.33,5,0,7
3,3,23,Willa Ford,Maksim Chmerkoskiy,Music,1,22.0,3,7.333333333333333,-0.3651,-0.33,4,0,7
3,4,23,Willa Ford,Maksim Chmerkoskiy,Music,1,28.0,3,9.333333333333334,1.0625,2.0,2,0,7
3,5,23,Willa Ford,Maksim Chmerkoskiy,Music,1,27.0,3,9.0,0.7807,-0.33,1,1,7
3,1,24,Sara Evans,Tony Dovolani,Music,1,15.0,3,5.0,-1.0238,0.0,10,0,6
3,2,24,Sara Evans,Tony Dovolani,Music,1,21.0,3,7.0,-0.6882,2.0,7,0,6
3,3,24,Sara Evans,Tony Dovolani,Music,1,25.0,3,8.333333333333334,0.7303,1.33,3,0,6
3,4,24,Sara Evans,Tony Dovolani,Music,1,20.0,3,6.666666666666667,-1.5528,-1.67,8,0,6
3,5,24,Sara Evans,Tony Dovolani,Music,1,24.0,3,8.0,-1.2687,1.33,6,0,6
3,1,25,Jerry Springer,Kym Johnson,Media/TV,0,16.0,3,5.333333333333333,-0.7842,0.0,9,0,5
3,2,25,Jerry Springer,Kym Johnson,Media/TV,0,19.0,3,6.333333333333333,-1.3765,1.0,10,0,5
3,3,25,Jerry Springer,Kym Johnson,Media/TV,0,21.0,3,7.0,-0.7303,0.67,8,0,5
3,4,25,Jerry Springer,Kym Johnson,Media/TV,0,22.0,3,7.333333333333333,-0.899,0.33,7,0,5
3,5,25,Jerry Springer,Kym Johnson,Media/TV,0,24.0,3,8.0,-1.2687,0.67,6,0,5
3,6,25,Jerry Springer,Kym Johnson,Media/TV,0,18.0,3,6.0,-1.5355,-2.0,5,0,5
3,7,25,Jerry Springer,Kym Johnson,Media/TV,0,23.0,3,7.666666666666667,-1.7253,1.67,5,1,5
3,1,26,Tucker Carlson,Elena Grinenko,Media/TV,1,12.0,3,4.0,-1.7426,0.0,11,1,11
4,1,27,John Ratzenberger,Edyta Sliwinska,Acting,1,17.0,3,5.666666666666667,-0.5112,0.0,8,0,6
4,2,27,John Ratzenberger,Edyta Sliwinska,Acting,1,21.0,3,7.0,-0.4737,1.33,6,0,6
4,3,27,John Ratzenberger,Edyta Sliwinska,Acting,1,20.0,3,6.666666666666667,-0.6995,-0.33,9,0,6
4,4,27,John Ratzenberger,Edyta Sliwinska,Acting,1,16.0,3,5.333333333333333,-1.0995,-1.33,7,0,6
4,5,27,John Ratzenberger,Edyta Sliwinska,Acting,1,18.0,3,6.0,-0.6889,0.67,6,0,6
4,6,27,John Ratzenberger,Edyta Sliwinska,Acting,1,19.0,3,6.333333333333333,-1.4908,0.33,7,0,6
4,7,27,John Ratzenberger,Edyta Sliwinska,Acting,1,22.5,3,7.5,-0.7775,1.17,5,1,6
4,1,28,Ian Ziering,Cheryl Burke,Acting,1,21.0,3,7.0,0.6726,0.0,3,0,4
4,2,28,Ian Ziering,Cheryl Burke,Acting,1,22.0,3,7.333333333333333,-0.1015,0.33,5,0,4
4,3,28,Ian Ziering,Cheryl Burke,Acting,1,24.0,3,8.0,0.8549,0.67,1,0,4
4,4,28,Ian Ziering,Cheryl Burke,Acting,1,24.0,3,8.0,0.6214,0.0,3,0,4
4,5,28,Ian Ziering,Cheryl Burke,Acting,1,24.0,3,8.0,0.3444,0.0,4,0,4
4,6,28,Ian Ziering,Cheryl Burke,Acting,1,24.0,3,8.0,-0.0806,0.0,4,0,4
4,7,28,Ian Ziering,Cheryl Burke,Acting,1,27.0,3,9.0,0.299,1.0,3,0,4
4,8,28,Ian Ziering,Cheryl Burke,Acting,1,23.5,3,7.833333333333333,-0.4041,-1.17,4,0,4
4,9,28,Ian Ziering,Cheryl Burke,Acting,1,29.0,3,9.666666666666666,-1.3056,1.83,4,1,4
4,1,29,Clyde Drexler,Elena Grinenko,Sports,1,16.0,3,5.333333333333333,-0.8071,0.0,9,0,8
4,2,29,Clyde Drexler,Elena Grinenko,Sports,1,18.0,3,6.0,-1.5903,0.67,11,0,8
4,3,29,Clyde Drexler,Elena Grinenko,Sports,1,16.0,3,5.333333333333333,-2.2539,-0.67,10,0,8
4,4,29,Clyde Drexler,Elena Grinenko,Sports,1,15.0,3,5.0,-1.3146,-0.33,9,0,8
4,5,29,Clyde Drexler,Elena Grinenko,Sports,1,13.0,3,4.333333333333333,-1.55,-0.67,8,1,8
4,1,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,23.0,3,7.666666666666667,1.2645,0.0,2,0,3
4,2,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,27.0,3,9.0,1.7595,1.33,1,0,3
4,3,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,21.0,3,7.0,-0.3109,-2.0,6,0,3
4,4,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,21.0,3,7.0,-0.0239,0.0,5,0,3
4,5,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,28.0,3,9.333333333333334,1.0333,2.33,2,0,3
4,6,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,28.0,3,9.333333333333334,1.0476,0.0,1,0,3
4,7,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,29.5,3,9.833333333333334,0.8971,0.5,1,0,3
4,8,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,26.5,3,8.833333333333334,0.3536,-1.0,3,0,3
4,9,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,30.0,3,10.0,0.7833,1.17,1,0,3
4,10,30,Laila Ali,Maksim Chmerkoskiy,Sports,1,28.3332,3,9.4444,-0.8728,-0.56,3,0,3
4,1,31,Apolo Anton Ohno,Julianne Hough,Sports,1,21.0,3,7.0,0.6726,0.0,3,0,1
4,2,31,Apolo Anton Ohno,Julianne Hough,Sports,1,26.0,3,8.666666666666666,1.3873,1.67,2,0,1
4,3,31,Apolo Anton Ohno,Julianne Hough,Sports,1,23.0,3,7.666666666666667,0.4663,-1.0,5,0,1
4,4,31,Apolo Anton Ohno,Julianne Hough,Sports,1,26.0,3,8.666666666666666,1.0517,1.0,2,0,1
4,5,31,Apolo Anton Ohno,Julianne Hough,Sports,1,30.0,3,10.0,1.3778,1.33,1,0,1
4,6,31,Apolo Anton Ohno,Julianne Hough,Sports,1,28.0,3,9.333333333333334,1.0476,-0.67,1,0,1
4,7,31,Apolo Anton Ohno,Julianne Hough,Sports,1,27.0,3,9.0,0.299,-0.33,3,0,1
4,8,31,Apolo Anton Ohno,Julianne Hough,Sports,1,29.0,3,9.666666666666666,0.9851,0.67,1,0,1
4,9,31,Apolo Anton Ohno,Julianne Hough,Sports,1,29.5,3,9.833333333333334,-0.2611,0.17,3,0,1
4,10,31,Apolo Anton Ohno,Julianne Hough,Sports,1,29.3332,3,9.777733333333334,1.0911,-0.06,1,0,1
4,1,32,Shandi Finnessey,Brian Fortuna,Model,1,19.0,3,6.333333333333333,0.0807,0.0,5,0,10
4,2,32,Shandi Finnessey,Brian Fortuna,Model,1,20.0,3,6.666666666666667,-0.8459,0.33,10,0,10
4,3,32,Shandi Finnessey,Brian Fortuna,Model,1,21.0,3,7.0,-0.3109,0.33,6,1,10
4,1,33,Paulina Porizkova,Alec Mazo,Model,0,19.0,3,6.333333333333333,0.0807,0.0,5,0,11
4,2,33,Paulina Porizkova,Alec Mazo,Model,0,21.0,3,7.0,-0.4737,0.67,6,1,11
4,1,34,Heather Mills,Jonathan Roberts,Model,0,18.0,3,6.0,-0.2152,0.0,7,0,7
4,2,34,Heather Mills,Jonathan Roberts,Model,0,24.0,3,8.0,0.6429,2.0,3,0,7
4,3,34,Heather Mills,Jonathan Roberts,Model,0,24.0,3,8.0,0.8549,0.0,1,0,7
4,4,34,Heather Mills,Jonathan Roberts,Model,0,23.0,3,7.666666666666667,0.4063,-0.33,4,0,7
4,5,34,Heather Mills,Jonathan Roberts,Model,0,21.0,3,7.0,-0.1722,-0.67,5,0,7
4,6,34,Heather Mills,Jonathan Roberts,Model,0,23.0,3,7.666666666666667,-0.3626,0.67,5,1,7
4,1,35,Billy Ray Cyrus,Karina Smirnoff,Music,1,13.0,3,4.333333333333333,-1.6949,0.0,11,0,5
4,2,35,Billy Ray Cyrus,Karina Smirnoff,Music,1,21.0,3,7.0,-0.4737,2.67,6,0,5
4,3,35,Billy Ray Cyrus,Karina Smirnoff,Music,1,21.0,3,7.0,-0.3109,0.0,6,0,5
4,4,35,Billy Ray Cyrus,Karina Smirnoff,Music,1,21.0,3,7.0,-0.0239,0.0,5,0,5
4,5,35,Billy Ray Cyrus,Karina Smirnoff,Music,1,17.0,3,5.666666666666667,-0.8611,-1.33,7,0,5
4,6,35,Billy Ray Cyrus,Karina Smirnoff,Music,1,21.0,3,7.0,-0.9267,1.33,6,0,5
4,7,35,Billy Ray Cyrus,Karina Smirnoff,Music,1,19.0,3,6.333333333333333,-1.6147,-0.67,6,0,5
4,8,35,Billy Ray Cyrus,Karina Smirnoff,Music,1,19.0,3,6.333333333333333,-1.5407,0.0,5,1,5
4,1,36,Joey Fatone,Kym Johnson,Music,1,24.0,3,8.0,1.5604,0.0,1,0,2
4,2,36,Joey Fatone,Kym Johnson,Music,1,24.0,3,8.0,0.6429,0.0,3,0,2
4,3,36,Joey Fatone,Kym Johnson,Music,1,24.0,3,8.0,0.8549,0.0,1,0,2
4,4,36,Joey Fatone,Kym Johnson,Music,1,28.0,3,9.333333333333334,1.4819,1.33,1,0,2
4,5,36,Joey Fatone,Kym Johnson,Music,1,25.0,3,8.333333333333334,0.5167,-1.0,3,0,2
4,6,36,Joey Fatone,Kym Johnson,Music,1,27.0,3,9.0,0.7655,0.67,3,0,2
4,7,36,Joey Fatone,Kym Johnson,Music,1,29.5,3,9.833333333333334,0.8971,0.83,1,0,2
4,8,36,Joey Fatone,Kym Johnson,Music,1,27.5,3,9.166666666666666,0.6062,-0.67,2,0,2
4,9,36,Joey Fatone,Kym Johnson,Music,1,30.0,3,10.0,0.7833,0.83,1,0,2
4,10,36,Joey Fatone,Kym Johnson,Music,1,28.6665,3,9.5555,-0.2183,-0.44,2,0,2
