Dancing with the Stars - All Seasons Summary (1-34),Unnamed: 1,Unnamed: 2,Unnamed: 3,Season_Sheet,Couple,Pl,Wk1,Wk2,Wk1+2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk6+7,Wk9,Wk10N1,Wk10N2,Wk1N1,Wk1N2,Wk3+4,Wk10,Wk11N1,Wk11N2,Wk5+6,Wk7+8,Wk2N1,Wk2N2,Wk11,Wk4N1,Wk4N2,Wk4-1+2,Wk5N1,Wk5N2,Wk5-1+2,Wk10+11,Wk3N1,Wk3N2,Wk3-1+2,Wk8+9
,,,,S11,Kurt & Anna,5th,19,21.0,,23.0,15+19=34,24.0,18+4=22,27+34=61,24+24=48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Rick & Cheryl,6th,22,21.0,,24.0,19+20=39,24.0,24+6=30,24+37=61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Audrina & Tony,7th,19,23.0,,26.0,24+22=46,23.0,24+8=32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Florence & Corky,8th,18,19.0,,20.0,17+18=35,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,The Situation & Karina,9th,15,18.0,,20.0,12+16=28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Margaret & Louis,10th,15,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Michael & Chelsie,11th,16,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,David & Kym,12th,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Hines & Kym,1st,21,23,44.0,25.0,25.0,27.0,27.0,30+36=66,28+26=54,,30+30=60,29+30=59,+30=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Kirstie & Maks,2nd,23,20,43.0,21.0,22.0,23.0,26.0,30+30=60,28+25=53,,27+27=54,27+27=54,+30=84,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Chelsea & Mark,3rd,21,18,39.0,23.0,26.0,26.0,28.0,30+34=64,29+26=55,,28+30+15=73,29+30=59,+30=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Ralph & Karina,4th,24,21,45.0,21.0,25.0,22.0,24.0,30+36=66,25+21=46,,25+23=48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Romeo & Chelsie,5th,19,23,42.0,20.0,23.0,26.0,28.0,30+30=60,27+25=52,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Kendra & Louis,6th,18,19,37.0,23.0,18.0,22.0,25.0,30+31=61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Chris & Cheryl,7th,19,23,42.0,21.0,23.0,26.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Petra & Dmitry,8th,18,18,36.0,25.0,23.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Sugar Ray & Anna,9th,17,17,34.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Wendy & Tony,10th,14,17,31.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Mike & Lacey,11th,13,17,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,J.R. & Karina,1st,22,22.0,,26.0,26.0,28.0,29.0,25+23=48,30+30=60,,23+27+6=56,24+30=54,+28+30=112,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Rob & Cheryl,2nd,16,21.0,,24.0,24.0,25.0,22.0,25+26=51,27+24=51,,28+27+10=65,27+30=57,+26+30=113,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Ricki & Derek,3rd,20,23.0,,27.0,29.0,24.0,29.0,27+26=53,28+24=52,,30+29+8=67,27+27=54,+30=84,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Hope & Maks,4th,21,19.0,,24.0,24.0,24.0,20.0,24+26=50,27+25=52,,21+24+4=49,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Nancy & Tristan,5th,16,21.0,,21.0,21.0,22.0,24.0,21+23=44,24+20=44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,David & Kym,6th,18,18.0,,24.0,23.0,25.0,23.0,24+23=47,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Chaz & Lacey,7th,17,17.0,,18.0,21.0,21.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Carson & Anna,8th,17,18.0,,23.0,20.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Chynna & Tony,9th,22,21.0,,26.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Kristin & Mark,10th,19,22.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Elisabetta & Val,11th,15,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S13,Ron & Peta,12th,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Donald & Peta,1st,21,24,45.0,26.0,27.0,27.0,27+7=34,27+26=53,27+28=55,,28+29=57,29+30=59,+30=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Katherine & Mark,2nd,26,26,52.0,29.0,24.0,29.0,29+10=39,27+27=54,26+29=55,,29+27=56,30+30=60,+30=90,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,William & Cheryl,3rd,24,25,49.0,28.0,22.0,29.0,27+9=36,27+26=53,30+27=57,,28+30=58,30+29=59,+30=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Maria & Derek,4th,21,25,46.0,27.0,26.0,27.0,26+4=30,30+27=57,28+25=53,,30+29=59,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Melissa & Maks,5th,20,20,40.0,24.0,22.0,21.0,24+6=30,21+26=47,24+27=51,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Roshon & Chelsie,6th,23,26,49.0,25.0,26.0,26.0,23+5=28,25+27=52,29+27=56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Jaleel & Kym,7th,26,22,48.0,25.0,22.0,24.0,29+8=37,24+27=51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Gladys & Tristan,8th,23,19,42.0,24.0,20.0,22.0,21+3=24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Gavin & Karina,9th,20,21,41.0,24.0,23.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Sherri & Val,10th,23,23,46.0,24.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Jack & Anna,11th,23,21,44.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S14,Martina & Tony,12th,20,17,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S15,Melissa & Tony,1st,21.0,23.5,,27.0,37.0,27+29.5=56.5,29.5,29+10=39,30+30=60,,57.5,30+30=60,+28.5=88.5,,,,,,,86.0,99.0,,,,,,,,,,,,,,
,,,,S15,Shawn & Derek,2nd,22.0,25.0,,26.5,39.5,27+29.5=56.5,28,30+8=38,29.5+26=55.5,,59.0,27+30=57,+30=87,,,,,,,84.5,93.5,,,,,,,,,,,,,,
,,,,S15,Kelly & Val,3rd,21.5,22.0,,27.0,37.5,24.5+27=51.5,27,27+9=36,28+28.5=56.5,,54.0,29.5+29.5=59,+28.5=87.5,,,,,,,78.5,92.5,,,,,,,,,,,,,,
,,,,S15,Emmitt & Cheryl,4th,24.5,22.5,,25.0,36.0,29+27=56,26.5,27.5+7=34.5,28+30=58,,54.0,,,,,,,,,82.5,92.5,,,,,,,,,,,,,,
,,,,S15,Apolo & Karina,5th,22.0,24.5,,25.5,34.5,27+29.5=56.5,30,27+6=33,29.5+29=58.5,,57.0,,,,,,,,,86.5,91.5,,,,,,,,,,,,,,
,,,,S15,Gilles & Peta,6th,24.0,25.5,,25.5,39.5,29.5+27=56.5,27.5,28.5+5=33.5,29.5+29=58.5,,,,,,,,,,,84.0,92.0,,,,,,,,,,,,,,
,,,,S15,Kirstie & Maks,7th,19.0,21.0,,24.0,30.0,25.5+27=52.5,27.5+2=29.5,24+4=28,27+24=51,,,,,,,,,,,82.0,79.0,,,,,,,,,,,,,,
,,,,S15,Sabrina & Louis,8th,22.5,26.0,,25.5,35.5,29+29.5=58.5,30,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,
,,,,S15,Bristol & Mark,9th,19.5,18.0,,22.5,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S15,Hélio & Chelsie,10th,21.5,23.0,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S15,Drew & Anna,11th,21.5,22.5,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S15,Joey & Kym,12th,20.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S15,Pamela & Tristan,13th,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Kellie & Derek,1st,21,26,47.0,25,26.0,27.0,29+25=54,29,28+27=55,,30+28=58,30+4+30=64,+30=94,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Zendaya & Val,2nd,24,26,50.0,24+2=26,26.0,29.0,29+22=51,27+3=30,28+30=58,,25+30=55,30+5+30=65,+30=95,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Jacoby & Karina,3rd,20,23,43.0,24+2=26,24.0,26.0,23+22=45,27,27+25=52,,30+29=59,27+2+27=56,+30=86,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Alexandra & Mark,4th,21,24,45.0,23,27.0,25.0,27+25=52,29+3=32,29+27=56,,30+29=59,28+3+30=61,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Ingo & Kym,5th,20,20,40.0,21,23.0,21.0,24+22=46,22+3=25,24+24=48,,24+27=51,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Sean & Peta,6th,19,20,39.0,21,20.0,24.0,21+25=46,24,21+21=42,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Andy & Sharna,7th,17,20,37.0,18,21.0,18.0,18+25=43,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Victor & Lindsay,8th,18,18,36.0,23,18.0,21.0,18+22=40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,D.L. & Cheryl,9th,12,16,28.0,16,21.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Lisa & Gleb,10th,18,18,36.0,21,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Wynonna & Tony,11th,18,18,36.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S16,Dorothy & Tristan,12th,21,15,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S17,Amber & Derek,1st,27,24,51.0,24.0,27.0,26.0,28+4=32,29+30=59,28,91.0,24+27=51,,,,,,39+40=79,30+4+30=64,+30=94,,,,,,,,,,,,,,,,
,,,,S17,Corbin & Karina,2nd,24,26,50.0,26.0,27.0,28.0,23+4=27,29+30=59,27+3=30,86.0,28+30=58,,,,,,35+40=75,27+5+30=62,+27=89,,,,,,,,,,,,,,,,
,,,,S17,Jack & Cheryl,3rd,23,24,47.0,22.0,24.0,27.0,25+2=27,27+30=57,27+3=30,84.0,29+25=54,,,,,,33+38=71,24+3+30=57,+27=84,,,,,,,,,,,,,,,,
,,,,S17,Bill E. & Emma,4th,18,21,39.0,24.0,21.0,24.0,23+1=24,23+27=50,24,74.0,21+21=42,,,,,,28+32=60,24+2+25=51,,,,,,,,,,,,,,,,,
,,,,S17,Leah & Tony,5th,21,24,45.0,24.0,24.0,22.0,27+1=28,26+27=53,25+3=28,81.0,27+27=54,,,,,,32+33=65,,,,,,,,,,,,,,,,,,
,,,,S17,Elizabeth & Val,6th,24,25,49.0,25.0,27.0,26.0,30+2=32,27+27=54,25,86.0,26+30=56,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S17,Brant & Peta,7th,22,23,45.0,27.0,21.0,27.0,28+3=31,27+30=57,27,88.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S17,Nicole & Sasha,8th,23,20,43.0,25.0,24.0,27.0,27+3=30,27+27=54,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S17,Christina & Mark,9th,22,25,47.0,26.0,24.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S17,Valerie & Tristan,10th,21,19,40.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S17,Bill N. & Tyne,11th,14,17,31.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S17,Keyshawn & Sharna,12th,17,18,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Meryl & Maks,1st,24,25.0,,39.0,39.0,36.0,40.0,39+39=78,36+34=70,,40+40=80,30+30=60,+30=90,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Amy & Derek,2nd,24,24.0,,36.0,34.0,37.0,38.0,36+39=75,40+39=79,,39+39=78,30+29=59,+30=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Candace & Mark,3rd,25,21.0,,32.0,28.0,35.0,32.0,35+39=74,36+38=74,,34+38=72,27+24=51,+27=78,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,James & Peta,4th,21,25.0,,36.0,35.0,40.0,35.0,35+35=70,36+39=75,,40+36=76,29+29=58,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Charlie & Sharna,5th,27,25.0,,36.0,33.0,37.0,36.0,36+35=71,40+38=78,,40+36=76,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Danica & Val,6th,24,24.0,,36.0,32.0,39.0,36.0,33+39=72,38+34=72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,NeNe & Tony,7th,21,21.0,,31.0,32.0,36.0,33.0,31+35=66,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Drew & Cheryl,8th,21,21.0,,30.0,33.0,28.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Cody & Witney,9th,22,22.0,,35.0,31.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Billy Dee & Emma,10th,15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Sean & Karina,11th,20,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S18,Diana & Henry,12th,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S19,Alfonso & Witney,1st,36,32.0,,32.0,40.0,34.0,39.0,36+32=68,38+3=41,,37+40=77,,,,,,36+39=75,40+40=80,+40=120,,,,,,,,,,,,,,,,
,,,,S19,Sadie & Mark,2nd,34,31.0,,32.0,37.0,36.0,35.0,30+32=62,38,,33+40=73,,,,,,37+37=74,38+40=78,+40=118,,,,,,,,,,,,,,,,
,,,,S19,Janel & Val,3rd,29,34.0,,40.0,36.0,33.0,33.0,31+36=67,40+3=43,,38+39=77,,,,,,40+38=78,37+40=77,+40=117,,,,,,,,,,,,,,,,
,,,,S19,Bethany & Derek,4th,32,33.0,,40.0,33.0,32.0,36.0,39+36=75,37+3=40,,36+38=74,,,,,,36+40=76,36+40=76,,,,,,,,,,,,,,,,,
,,,,S19,Tommy & Peta,5th,27,28.0,,34.0,28.0,23.0,28.0,28+32=60,26+3=29,,29+28=57,,,,,,28+34=62,,,,,,,,,,,,,,,,,,
,,,,S19,Lea & Artem,6th,32,35.0,,31.0,39.0,34.0,32.0,34+36=70,32,,34+36=70,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S19,Michael & Emma,7th,25,24.0,,28.0,25.0,20.0,30.0,20+36=56,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S19,Antonio & Cheryl,8th,25,31.0,,29.0,29.0,28.0,28.0,27+32=59,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S19,Jonathan & Allison,9th,30,30.0,,32.0,24.0,24.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S19,Betsey & Tony,10th,20,28.0,,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S19,Randy & Karina,11th,31,28.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S19,Tavis & Sharna,12th,29,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S19,Lolo & Keo,13th,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Rumer & Val,1st,32,32,64.0,33.0,35.0,39.0,32+39=71,35+2=37,40+40=80,,38+30=68,40+40=80,+40=120,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Riker & Allison,2nd,31,32,63.0,34.0,34.0,38.0,37+39=76,37,39+39=78,,40+30=70,40+40=80,+40=120,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Noah & Sharna,3rd,26,27,53.0,30.0,32.0,28.0,29+39=68,36+2=38,31+32=63,,36+30=66,32+40=72,+36=108,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Nastia & Derek,4th,30,34,64.0,34.0,36.0,38.0,34+39=73,38+3=41,36+40=76,,40+30=70,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Chris & Witney,5th,26,21,47.0,28.0,27.0,27.0,31+39=70,31,34+30=64,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Robert & Kym,6th,28,28,56.0,29.0,34.0,24.0,28+39=67,31,33+29=62,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Willow & Mark,7th,25,32,57.0,32.0,39.0,34.0,34+39=73,37+2=39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Patti & Artem,8th,25,28,53.0,22.0,30.0,27.0,29+39=68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Suzanne & Tony,9th,25,28,53.0,25.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Michael & Peta,10th,26,28,54.0,24.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Charlotte & Keo,11th,22,26,48.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,Redfoo & Emma,12th,22,31,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S21,Bindi & Derek,1st,24,,,32.0,28.0,37.0,40.0,30+28=58,28,,30+30=60,,,,,,27+3+30=60,30+30=60,+30=90,77.0,,25.0,23.0,,,,,,,,,,,,
,,,,S21,Nick & Sharna,2nd,24,,,36.0,27.0,35.0,39.0,24+30=54,30+3=33,,28+27=55,,,,,,24+30=54,30+30=60,+30=90,74.0,,21.0,24.0,,,,,,,,,,,,
,,,,S21,Alek & Lindsay,3rd,22,,,33.0,24.0,29.0,30.0,25+28=53,25,,24+24=48,,,,,,30+27=57,27+30=57,+27=84,59.0,,23.0,22.0,,,,,,,,,,,,
,,,,S21,Carlos & Witney,4th,23,,,31.0,25.0,39.0,38.0,28+28=56,27+2=29,,27+24=51,,,,,,28+3+29=60,30+30=60,,77.0,,24.0,21.0,,,,,,,,,,,,
,,,,S21,Tamar & Val,5th,23,,,33.0,27.0,29.0,40.0,24+30=54,28,,22+27=49,,,,,,,,,69.0,,24.0,25.0,,,,,,,,,,,,
,,,,S21,Alexa & Mark,6th,22,,,36.0,21.0,40.0,30.0,27+28=55,25+2=27,,30+30=60,,,,,,,,,70.0,,24.0,22.0,,,,,,,,,,,,
,,,,S21,Andy & Allison,7th,21,,,29.0,23.0,36.0,40.0,26+30=56,22+2=24,,,,,,,,,,,76.0,,21.0,23.0,,,,,,,,,,,,
,,,,S21,Hayes & Emma,8th,21,,,30.0,27.0,30.0,32.0,26+30=56,,,,,,,,,,,,62.0,,22.0,23.0,,,,,,,,,,,,
,,,,S21,Paula & Louis,9th,15,,,20.0,18.0,26.0,24.0,,,,,,,,,,,,,50.0,,19.0,18.0,,,,,,,,,,,,
,,,,S21,Gary & Anna,10th,15,,,25.0,16.0,,,,,,,,,,,,,,,,,18.0,15.0,,,,,,,,,,,,
,,,,S21,Kim & Tony,11th,12,,,,,,,,,,,,,,,,,,,,,19.0,18.0,,,,,,,,,,,,
,,,,S21,Victor & Karina,12th,15,,,,,,,,,,,,,,,,,,,,,17.0,20.0,,,,,,,,,,,,
,,,,S21,Chaka & Keo,13th,13,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,
,,,,S22,Nyle & Peta,1st,23,20,43.0,25.0,34.0,37.0,25.0,28+28=56,29+29=58,,27+30=57,27+30=57,+30=87,,,,,,,62.0,,,,,,,,,,,,,,,
,,,,S22,Paige & Mark,2nd,21,24,45.0,23.0,36.0,31.0,28.0,30+25=55,28+29=57,,30+29=59,29+30=59,+30=89,,,,,,,59.0,,,,,,,,,,,,,,,
,,,,S22,Ginger & Val,3rd,23,21,44.0,21.0,36.0,32.0,24.0,30+25=55,30+29=59,,27+29=56,28+30=58,+27=85,,,,,,,56.0,,,,,,,,,,,,,,,
,,,,S22,Antonio & Sharna,4th,21,19,40.0,20.0,35.0,26.0,27.0,24+28=52,27+29=56,,27+28=55,,,,,,,,,53.0,,,,,,,,,,,,,,,
,,,,S22,Wanyá & Lindsay,4th,23,24,47.0,24.0,35.0,30.0,29.0,27+28=55,25+29=54,,30+30=60,,,,,,,,,59.0,,,,,,,,,,,,,,,
,,,,S22,Jodie & Keo,6th,20,21,41.0,23.0,27.0,35.0,25.0,26+25=51,30+29=59,,,,,,,,,,,60.0,,,,,,,,,,,,,,,
,,,,S22,Kim & Sasha,7th,20,19,39.0,22.0,32.0,28.0,24.0,27+25=52,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,
,,,,S22,Von & Witney,7th,21,20,41.0,20.0,32.0,29.0,24.0,24+28=52,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,
,,,,S22,Doug & Karina,9th,15,20,35.0,20.0,24.0,28.0,21.0,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,
,,,,S22,Marla & Tony,10th,21,20,41.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S22,Mischa & Artem,11th,16,15,31.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S22,Geraldo & Edyta,12th,13,13,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S23,Laurie & Val,1st,31,32,63.0,31.0,30.0,25.0,37.0,34+35=69,30+3=33,,40+40=80,,,,,,30+30=60,38+40=78,+40=118,62.0,,,,,,,,,,,,,,,
,,,,S23,James & Sharna,2nd,31,29,60.0,29.0,28.0,29.0,38.0,36+38=74,30+5=35,,36+37=73,,,,,,29+30=59,37+40=77,+40=117,67.0,,,,,,,,,,,,,,,
,,,,S23,Calvin & Lindsay,3rd,26,28,54.0,32.0,23.0,24.0,37.0,36+38=74,30,,37+37=74,,,,,,26+30=56,35+40=75,+40=115,61.0,,,,,,,,,,,,,,,
,,,,S23,Jana & Gleb,4th,27,29,56.0,26.0,23.0,26.0,40.0,34+35=69,27+3=30,,40+40=80,,,,,,28+30=58,35+36=71,,66.0,,,,,,,,,,,,,,,
,,,,S23,Terra & Sasha,5th,25,31,56.0,30.0,25.0,27.0,30.0,34+35=69,24,,38+36=74,,,,,,30+30=60,,,57.0,,,,,,,,,,,,,,,
,,,,S23,Marilu & Derek,6th,27,29,56.0,28.0,21.0,27.0,34.0,29+35=64,23,,36+36=72,,,,,,,,,61.0,,,,,,,,,,,,,,,
,,,,S23,Ryan & Cheryl,7th,24,24,48.0,25.0,22.0,24.0,30.0,28+38=66,23+3=26,,,,,,,,,,,54.0,,,,,,,,,,,,,,,
